Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Notes;Tags;id
SWIFT: A deep learning approach to prediction of hypoxemic events in critically-Ill patients using SpO2 waveform prediction;"Annapragada, A. V.; Greenstein, J. L.; Bose, S. N.; Winters, B. D.; Sarma, S. V.; Winslow, R. L.";Hypoxemia is a significant driver of mortality and poor clinical outcomes in conditions such as brain injury and cardiac arrest in critically ill patients, including COVID-19 patients. Given the host of negative clinical outcomes attributed to hypoxemia, identifying patients likely to experience hypoxemia would offer valuable opportunities for early and thus more effective intervention. We present SWIFT (SpO2 Waveform ICU Forecasting Technique), a deep learning model that predicts blood oxygen saturation (SpO2) waveforms 5 and 30 minutes in the future using only prior SpO2 values as inputs. When tested on novel data, SWIFT predicts more than 80% and 60% of hypoxemic events in critically ill and COVID-19 patients, respectively. SWIFT also predicts SpO2 waveforms with average MSE below .0007. SWIFT predicts both occurrence and magnitude of potential hypoxemic events 30 minutes in the future, allowing it to be used to inform clinical interventions, patient triaging, and optimal resource allocation. SWIFT may be used in clinical decision support systems to inform the management of critically ill patients during the COVID-19 pandemic and beyond.;2021;12;PLoS Computational Biology;17;12;e1009712;34932550;https://dx.doi.org/10.1371/journal.pcbi.1009712;;#40;Annapragada 2021;;;14
An artificial neural network model for prediction of hypoxemia during sedation for gastrointestinal endoscopy;"Geng, W.; Tang, H.; Sharma, A.; Zhao, Y.; Yan, Y.; Hong, W.";Objective: This study was designed to assess clinical predictors of hypoxemia and develop an artificial neural network (ANN) model for prediction of hypoxemia during sedation for gastrointestinal endoscopy examination. Method(s): A total of 220 patients were enrolled in this prospective observational study. Data on demographics, chronic concomitant disease information, neck circumference, thyromental distance and anaesthetic dose were collected and statistically analysed. Result(s): Univariate analysis indicated that body mass index (BMI), habitual snoring and neck circumference were associated with hypoxemia. An ANN model was developed with three variables (BMI, habitual snoring and neck circumference). The area under the receiver operating characteristic curve for the ANN model was 0.80. Conclusion(s): The ANN model developed here, comprising BMI, habitual snoring and neck circumference, was useful for prediction of hypoxemia during sedation for gastrointestinal endoscopy. Copyright © The Author(s) 2019.;2019;01 May;Journal of International Medical Research;47(5);;2097-2103;627980502;https://dx.doi.org/10.1177/0300060519834459;;#317;Geng 2019;;;102
Explainable machine-learning predictions for the prevention of hypoxaemia during surgery;"Lundberg, S. M.; Nair, B.; Vavilala, M. S.; Horibe, M.; Eisses, M. J.; Adams, T.; Liston, D. E.; Low, D. K.; Newman, S. F.; Kim, J.; Lee, S. I.";Although anaesthesiologists strive to avoid hypoxemia during surgery, reliably predicting future intraoperative hypoxemia is not currently possible. Here, we report the development and testing of a machine-learning-based system that, in real time during general anaesthesia, predicts the risk of hypoxemia and provides explanations of the risk factors. The system, which was trained on minute-by-minute data from the electronic medical records of over fifty thousand surgeries, improved the performance of anaesthesiologists when providing interpretable hypoxemia risks and contributing factors. The explanations for the predictions are broadly consistent with the literature and with prior knowledge from anaesthesiologists. Our results suggest that if anaesthesiologists currently anticipate 15% of hypoxemia events, with this system's assistance they would anticipate 30% of them, a large portion of which may benefit from early intervention because they are associated with modifiable factors. The system can help improve the clinical understanding of hypoxemia risk during anaesthesia care by providing general insights into the exact changes in risk induced by certain patient or procedure characteristics.;2018;10;Nature Biomedical Engineering;2;10;749-760;31001455;https://dx.doi.org/10.1038/s41551-018-0304-0;;#607;Lundberg 2018;;;194
Machine Learning Models of Post-Intubation Hypoxia During General Anesthesia;"Sippl, P.; Ganslandt, T.; Prokosch, H. U.; Muenster, T.; Toddenroth, D.";Fine-meshed perioperative measurements are offering enormous potential for automatically investigating clinical complications during general anesthesia. In this study, we employed multiple machine learning methods to model perioperative hypoxia and compare their respective capabilities. After exporting and visualizing 620 series of perioperative vital signs, we had ten anesthesiologists annotate the subjective presence and severity of temporary post-intubation oxygen desaturation. We then applied specific clustering and prediction methods on the acquired annotations, and evaluated their performance in comparison to the inter-rater agreement between experts. When reproducing the expert annotations, the sensitivity and specificity of multi-layer neural networks substantially outperformed clustering and simpler threshold-based methods. The achieved performance of our best automated hypoxia models thereby approximately equaled the observed agreement between different medical experts. Furthermore, we deployed our classification methods for processing unlabeled inputs to estimate the incidence of hypoxic episodes in another sizeable patient cohort, which attests to the feasibility of using the approach on a larger scale. We interpret that our machine learning models could be instrumental for computerized observational studies of the clinical determinants of post-intubation oxygen deficiency. Future research might also investigate potential benefits of more advanced preprocessing approaches such as automated feature learning.;2017;;Studies in health technology and informatics;243;;212-216;621885580;;;#913;Sippl 2017;;;294
Deep Learning-Based Automatic Assessment of Lung Impairment in COVID-19 Pneumonia: Predicting Markers of Hypoxia With Computer Vision;"Statsenko, Y.; Habuza, T.; Talako, T.; Pazniak, M.; Likhorad, E.; Pazniak, A.; Beliakouski, P.; Gelovani, J. G.; Gorkom, K. N. V.; Almansoori, T. M.; Al Zahmi, F.; Qandil, D. S.; Zaki, N.; Elyassami, S.; Ponomareva, A.; Loney, T.; Naidoo, N.; Mannaerts, G. H. H.; Al Koteesh, J.; Ljubisavljevic, M. R.; Das, K. M.";"Background: Hypoxia is a potentially life-threatening condition that can be seen in pneumonia patients. Objective(s): We aimed to develop and test an automatic assessment of lung impairment in COVID-19 associated pneumonia with machine learning regression models that predict markers of respiratory and cardiovascular functioning from radiograms and lung CT. Material(s) and Method(s): We enrolled a total of 605 COVID-19 cases admitted to Al Ain Hospital from 24 February to 1 July 2020 into the study. The inclusion criteria were as follows: age >= 18 years; inpatient admission; PCR positive for SARS-CoV-2; lung CT available at PACS. We designed a CNN-based regression model to predict systemic oxygenation markers from lung CT and 2D diagnostic images of the chest. The 2D images generated by averaging CT scans were analogous to the frontal and lateral view radiograms. The functional (heart and breath rate, blood pressure) and biochemical findings (SpO<inf>2</inf>, (Formula presented.), K<sup>+</sup>, Na<sup>+</sup>, anion gap, C-reactive protein) served as ground truth. Result(s): Radiologic findings in the lungs of COVID-19 patients provide reliable assessments of functional status with clinical utility. If fed to ML models, the sagittal view radiograms reflect dyspnea more accurately than the coronal view radiograms due to the smaller size and the lower model complexity. Mean absolute error of the models trained on single-projection radiograms was approximately 11/12% and it dropped by 0.5/1% if both projections were used (11.97 +/- 9.23 vs. 11.43 +/- 7.51%; p = 0.70). Thus, the ML regression models based on 2D images acquired in multiple planes had slightly better performance. The data blending approach was as efficient as the voting regression technique: 10.90 +/- 6.72 vs. 11.96 +/- 8.30%, p = 0.94. The models trained on 3D images were more accurate than those on 2D: 8.27 +/- 4.13 and 11.75 +/- 8.26%, p = 0.14 before lung extraction; 10.66 +/- 5.83 and 7.94 +/- 4.13%, p = 0.18 after the extraction. The lung extraction boosts 3D model performance unsubstantially (from 8.27 +/- 4.13 to 7.94 +/- 4.13%; p = 0.82). However, none of the differences between 3D and 2D were statistically significant. Conclusion(s): The constructed ML algorithms can serve as models of structure-function association and pathophysiologic changes in COVID-19. The algorithms can improve risk evaluation and disease management especially after oxygen therapy that changes functional findings. Thus, the structural assessment of acute lung injury speaks of disease severity. Copyright © 2022 Statsenko, Habuza, Talako, Pazniak, Likhorad, Pazniak, Beliakouski, Gelovani, Gorkom, Almansoori, Al Zahmi, Qandil, Zaki, Elyassami, Ponomareva, Loney, Naidoo, Mannaerts, Al Koteesh, Ljubisavljevic and Das.";2022;26. Jul;Frontiers in Medicine;9 (no pagination);;;2018457131;https://dx.doi.org/10.3389/fmed.2022.882190;;#946;Statsenko 2022;;;1415
Development and validation of a machine-learning model for prediction of hypoxemia after extubation in intensive care units;"Xia, M.; Jin, C.; Cao, S.; Pei, B.; Wang, J.; Xu, T.; Jiang, H.";Background: Extubation is the process of removing tracheal tubes so that patients maintain oxygenation while they start to breathe spontaneously. However, hypoxemia after extubation is an important issue for critical care doctors and is associated with patients' oxygenation, circulation, recovery, and incidence of postoperative complications. Accuracy and specificity of most related conventional models remain unsatisfactory. We conducted a predictive analysis based on a supervised machine-learning algorithm for the precise prediction of hypoxemia after extubation in intensive care units (ICUs). Method(s): Data were extracted from the Medical Information Mart for Intensive Care (MIMIC)-IV database for patients over age 18 who underwent mechanical ventilation in the ICU. The primary outcome was hypoxemia after extubation, and it was defined as a partial pressure of oxygen <60 mmHg after extubation. Variables and individuals with missing values greater than 20% were excluded, and the remaining missing values were filled in using multiple imputation. The dataset was split into a training set (80%) and final test set (20%). All related clinical and laboratory variables were extracted, and logistics stepwise regression was performed to screen out the key features. Six different advanced machine-learning models, including logistics regression (LOG), random forest (RF), K-nearest neighbors (KNN), support-vector machine (SVM), eXtreme Gradient Boosting (XGBoost), and Light Gradient Boosting Machine (LightGBM), were introduced for modelling. The best performance model in the first cross-validated dataset was further fine-tuned, and the final performance was assessed using the final test set. Result(s): A total of 14,777 patients were included in the study, and 1,864 of the patients' experienced hypoxemia after extubation. After training, the RF and LightGBM models were the strongest initial performers, and the area under the curve (AUC) using RF was 0.780 [95% confidence interval (CI), 0.755-0.805] and using LightGBM was 0.779 (95% CI, 0.752-0.806). The final AUC using RF was 0.792 (95% CI, 0.771-0.814) and using LightGBM was 0.792 (95% CI, 0.770-0.815). Conclusion(s): Our machine learning models have considerable potential for predicting hypoxemia after extubation, which help to reduce ICU morbidity and mortality. Copyright © Annals of Translational Medicine. All rights reserved.;2022;May;Annals of Translational Medicine;10(10) (no pagination);;;2018501501;https://dx.doi.org/10.21037/atm-22-2118;;#1099;Xia 2022;;;359
Forecasting adverse surgical events using self-supervised transfer learning for physiological signals;"Chen, H.; Lundberg, S. M.; Erion, G.; Kim, J. H.; Lee, S. I.";Hundreds of millions of surgical procedures take place annually across the world, which generate a prevalent type of electronic health record (EHR) data comprising time series physiological signals. Here, we present a transferable embedding method (i.e., a method to transform time series signals into input features for predictive machine learning models) named PHASE (PHysiologicAl Signal Embeddings) that enables us to more accurately forecast adverse surgical outcomes based on physiological signals. We evaluate PHASE on minute-by-minute EHR data of more than 50,000 surgeries from two operating room (OR) datasets and patient stays in an intensive care unit (ICU) dataset. PHASE outperforms other state-of-the-art approaches, such as long-short term memory networks trained on raw data and gradient boosted trees trained on handcrafted features, in predicting six distinct outcomes: hypoxemia, hypocapnia, hypotension, hypertension, phenylephrine, and epinephrine. In a transfer learning setting where we train embedding models in one dataset then embed signals and predict adverse events in unseen data, PHASE achieves significantly higher prediction accuracy at lower computational cost compared to conventional approaches. Finally, given the importance of understanding models in clinical applications we demonstrate that PHASE is explainable and validate our predictive models using local feature attribution methods.;2021;Dec;npj Digital Medicine;4;1;;WOS:000728174100002;10.1038/s41746-021-00536-y;;#1261;Chen 2021;;;48
Multitask Learning With Recurrent Neural Networks for Acute Respiratory Distress Syndrome Prediction Using Only Electronic Health Record Data: Model Development and Validation Study;"Lam, C.; Thapa, R.; Maharjan, J.; Rahmani, K.; Tso, C. F.; Singh, N. P.; Chetty, S. C.; Mao, Q. Q.";Background: Acute respiratory distress syndrome (ARDS) is a condition that is often considered to have broad and subjective diagnostic criteria and is associated with significant mortality and morbidity. Early and accurate prediction of ARDS and related conditions such as hypoxemia and sepsis could allow timely administration of therapies, leading to improved patient outcomes. Objective: The aim of this study is to perform an exploration of how multilabel classification in the clinical setting can take advantage of the underlying dependencies between ARDS and related conditions to improve early prediction of ARDS in patients. Methods: The electronic health record data set included 40,703 patient encounters from 7 hospitals from April 20, 2018, to March 17, 2021. A recurrent neural network (RNN) was trained using data from 5 hospitals, and external validation was conducted on data from 2 hospitals. In addition to ARDS, 12 target labels for related conditions such as sepsis, hypoxemia, and COVID-19 were used to train the model to classify a total of 13 outputs. As a comparator, XGBoost models were developed for each of the 13 target labels. Model performance was assessed using the area under the receiver operating characteristic curve. Heat maps to visualize attention scores were generated to provide interpretability to the neural networks. Finally, cluster analysis was performed to identify potential phenotypic subgroups of patients with ARDS. Results: The single RNN model trained to classify 13 outputs outperformed the individual XGBoost models for ARDS prediction, achieving an area under the receiver operating characteristic curve of 0.842 on the external test sets. Models trained on an increasing number of tasks resulted in improved performance. Earlier prediction of ARDS nearly doubled the rate of in-hospital survival. Cluster analysis revealed distinct ARDS subgroups, some of which had similar mortality rates but different clinical presentations. Conclusions: The RNN model presented in this paper can be used as an early warning system to stratify patients who are at risk of developing one of the multiple risk outcomes, hence providing practitioners with the means to take early action.;2022;Jun;JMIR Medical Informatics;10;6;;WOS:000834117100016;10.2196/36202;;#1393;Lam 2022;"Lena Pigat (2022-12-22 00:40:44)(Select): Age group unclear -> pediatric patients included?; ";;165
Machine learning based algorithms to impute PaO2 from SpO(2) values and development of an online calculator;"Ren, S. X.; Zupetic, J. A.; Tabary, M.; DeSensi, R.; Nouraie, M.; Lu, X. H.; Boyce, R. D.; Lee, J. S.";We created an online calculator using machine learning (ML) algorithms to impute the partial pressure of oxygen (PaO2)/fraction of delivered oxygen (FiO(2)) ratio using the non-invasive peripheral saturation of oxygen (SpO(2)) and compared the accuracy of the ML models we developed to published equations. We generated three ML algorithms (neural network, regression, and kernel-based methods) using seven clinical variable features (N = 9900 ICU events) and subsequently three features (N = 20,198 ICU events) as input into the models. Data from mechanically ventilated ICU patients were obtained from the publicly available Medical Information Mart for Intensive Care (MIMIC III) database and used for analysis. Compared to seven features, three features (SpO(2), FiO(2) and PEEP) were sufficient to impute PaO2 from the SpO(2). Any of the ML models enabled imputation of PaO2 from the SpO(2) with lower error and showed greater accuracy in predicting PaO2/FiO(2) <= 150 compared to the previously published log-linear and non-linear equations. To address potential hidden hypoxemia that occurs more frequently in Black patients, we conducted sensitivity analysis and show ML models outperformed published equations in both Black and White patients. Imputation using data from an independent validation cohort of ICU patients (N = 133) showed greater accuracy with ML models.;2022;May;Scientific reports;12;1;;WOS:000815482800082;10.1038/s41598-022-12419-7;;#1500;Ren 2022;;;265
Anesthesiologist-level forecasting of hypoxemia with only SpO2 data using deep learning;"G Erion; H Chen; SM Lundberg; SI Lee";… We use a deep learning model trained only on a patient’s blood oxygenation data (measurable with an inexpensive fingertip sensor) to predict impending hypoxemia (low blood oxygen…;2017;;arXiv preprint arXiv:1712.00563;;;;;;;#2078;GErion 2017;;;1866
