Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Notes;Tags;id
Predicting hypoxemia in ICU patients;"Bergmann, J.; Wang, Z.; Kyranakis, S.; Swaminathan, A.; Chen, C.; Shi, W.; Greenstein, J.; Winslow, R.; Fackler, J.; Ruchti, T.";INTRODUCTION: Hypoxemia can be a life-threatening condition and at-risk patients are often triaged to the ICU where close monitoring and rapid intervention are available. Advanced warning of hypoxemia can improve the safety of interventions, and stratifying risk levels could improve allocation of resources. We hypothesize that patient demographics and vital sign patterns can predict the risk of developing hypoxemia 10-15 minutes in advance. METHOD(S): Patients with pulse oximetry (SpO2) measurements sampled at least every minute were identified in the MIMIC-III dataset. Vital signs (SpO2, heart rate, respiratory rate, blood pressure), respiratory support, and demographics were extracted for each patient. Hypoxemia was defined as SpO2 < 92% for at least 5 minutes. Training and validation datasets were constructed by randomly sampling time intervals relative to labeled events, taking care patients did not contribute to both groups. Prediction models using generalized linear models and random forests were built using engineered features and multi-layer recursive neural network models using the raw time series. RESULT(S): N=9618 patients in MIMIC-III had continuous SpO2 available, and 7365 experienced hypoxemia. For predictions 10-15 minutes in advance, all methods achieved an average area under the receiver operating curve (AUROC) from 0.76-0.77. Performance improved as the prediction interval decreased. SpO2 and derived features were most important to the prediction performance, with AUROC decreasing to 0.55-0.56 without it. CONCLUSION(S): Our engineered features enable GLM and random forest models to achieve performance on par with deep neural networks, while providing more interpretability. While positive predictive value of the models is low (due to the low prevalence of hypoxic events), it is likely that prediction scores will supplement current clinical assessment processes, rather than replace them. In this role, the score might be analogous to a ?weather forecast? (e.g. low vs high chance of hypoxemia) that clinicians use to allocate resources of attention, personnel, and equipment to patients with the highest risk.;2021;January;Critical Care Medicine;49(1 SUPPL 1);;167;634767057;https://dx.doi.org/10.1097/01.ccm.0000727312.68018.8c;;#73;Bergmann 2021;"Exclusion reason: Wrong study design; ";;1037
High prevalence of sleep-disordered breathing in the intensive care unit - a cross-sectional study;"Bucklin, A. A.; Ganglberger, W.; Quadri, S. A.; Tesh, R. A.; Adra, N.; Da Silva Cardoso, M.; Leone, M. J.; Krishnamurthy, P. V.; Hemmige, A.; Rajan, S.; Panneerselvam, E.; Paixao, L.; Higgins, J.; Ayub, M. A.; Shao, Y. P.; Ye, E. M.; Coughlin, B.; Sun, H.; Cash, S. S.; Thompson, B. T.; Akeju, O.; Kuller, D.; Thomas, R. J.; Westover, M. B.";"Purpose: Sleep-disordered breathing may be induced by, exacerbate, or complicate recovery from critical illness. Disordered breathing during sleep, which itself is often fragmented, can go unrecognized in the intensive care unit (ICU). The objective of this study was to investigate the prevalence, severity, and risk factors of sleep-disordered breathing in ICU patients using a single respiratory belt and oxygen saturation signals. Method(s): Patients in three ICUs at Massachusetts General Hospital wore a thoracic respiratory effort belt as part of a clinical trial for up to 7 days and nights. Using a previously developed machine learning algorithm, we processed respiratory and oximetry signals to measure the 3% apnea-hypopnea index (AHI) and estimate AH-specific hypoxic burden and periodic breathing. We trained models to predict AHI categories for 12-h segments from risk factors, including admission variables and bio-signals data, available at the start of these segments. Result(s): Of 129 patients, 68% had an AHI >= 5; 40% an AHI > 15, and 19% had an AHI > 30 while critically ill. Median [interquartile range] hypoxic burden was 2.8 [0.5, 9.8] at night and 4.2 [1.0, 13.7] %min/h during the day. Of patients with AHI >= 5, 26% had periodic breathing. Performance of predicting AHI-categories from risk factors was poor. Conclusion(s): Sleep-disordered breathing and sleep apnea events while in the ICU are common and are associated with substantial burden of hypoxia and periodic breathing. Detection is feasible using limited bio-signals, such as respiratory effort and SpO<inf>2</inf> signals, while risk factors were insufficient to predict AHI severity. Copyright © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.";2022;;Sleep and Breathing.;;;;2018649121;https://dx.doi.org/10.1007/s11325-022-02698-9;;#113;Bucklin 2022;"Exclusion reason: Wrong outcomes; ";;33
Remote photonic sensing of blood oxygen saturation via tracking of anomalies in micro-saccades patterns;"Kalyuzhner, Z.; Agdarov, S.; Bennett, A.; Beiderman, Y.; Zalevsky, Z.";Speckle pattern analysis has been found by many researchers to be applicable to remote sensing of various biomedical parameters. This paper shows how analysis of dynamic differential speckle patterns scattered from subjects' sclera illuminated by a laser beam allows extraction of micro-saccades movement in the human eye. Analysis of micro-saccades movement using advanced machine learning techniques based on convolutional neural networks offers a novel approach for non-contact assessment of human blood oxygen saturation level (SpO2). Early stages of hypoxia can rapidly progress into pneumonia and death, and lives can be saved by advance remote detection of reduced blood oxygen saturation.;2021;01. Feb;Optics express;29(3);;3386-3394;634674829;https://dx.doi.org/10.1364/OE.418461;;#465;Kalyuzhner 2021;"Exclusion reason: Wrong setting; Lena Pigat (2023-01-02 23:21:14)(Select): Population no inpatients, prediction of blood oxygen not hypoxia; ";;139
Silent Hypoxia in Covid-19: A Machine Learning Algorithm for Early Prediction;"Khalpey, Z. I.; Khalpey, A.; Modi, B.; Deckwa, J. L.";INTRODUCTION: Silent hypoxia (SH) is defined as having minimal to no symptoms with markedly reduced pulse oximetry readings. This study aimed to determine a novel algorithm to triage and uncover silent hypoxemic patients with pre-symptomatic COVID-19 pneumonia. METHOD(S): A single-center retrospective analysis of 223 COVID- 19 positive patients who presented to our emergency room and admitted with a positive COVID-19 PCR test. The all-inclusive analysis of patient demographics, risk factors, and vital signs were evaluated using the electronic health record (EHR) with approved (IRB #2020436 and Robert Wood Johnson Research Grant ID#95636). 67% (n=150) of patients were identified as COVID-19 positive patients (COVID-19+) and 33% (n=73) were defined as silent hypoxic COVID-19 positive patients (shCOVID- 19) with a weighted questionnaire. RESULT(S): Using an extra tree classifier machine learning algorithm, we successfully predicted a shCOVID-19 patient with an AUC of 99%. By imputing the missing values with mode, model accuracy increased from 72% to 89%. The highest correlated shCOVID-19 characteristics are recent contact with sick persons, home oxygen, tobacco use, obesity, and hypoxia (<94%). Significant negative correlated shCOVID-19 characteristics are diabetes mellitus type II, subjective fever, productive cough, rhinorrhea, tachypnea (>19), and systolic blood pressure (>130 mmHg). The questionnaire scores for shCOVID-19 compared to COVID-19+ characteristics were also significantly different using ANOVA. CONCLUSION(S): SH may be an early clinical sign in shCOVID-19 patients and if identified with accurate and simple tools, physicians may triage, diagnose and intervene earlier to reduce its morbidity and mortality.;2021;November;Journal of the American College of Surgeons;233(5 Supplement 2);;e191;638581797;https://dx.doi.org/10.1016/j.jamcollsurg.2021.08.515;;#480;Khalpey 2021;"Exclusion reason: Wrong study design; ";;1231
COVITALE 2020 from eastern Indian population: imageologists perspective, a learning curve;"Kumar Sen, K.; Dubey, R.; Goyal, M.; Sethi, H.; Sharawat, A.; Arora, R.";Background: High-resolution computed tomography (HRCT) chest becomes a valuable diagnostic tool for identifying patients infected with Coronavirus Disease 2019 (COVID-19) in the early stage, where patients may be asymptomatic or with non-specific pulmonary symptoms. An early diagnosis of COVID-19 is of utmost importance, so that patients can be isolated and treated in time, eventually preventing spread of the disease, improving the prognosis and reducing the mortality. In this paper, we have highlighted our radiological experience of dealing with the pandemic crisis of 2020 through the study of HRCT thorax, lung ultrasonography, chest X-rays and artificial intelligence (AI). Result(s): Results of CT thorax analysis have been given in detail. We had also compared CT severity score (CTSS) with clinical and laboratory parameters. Correlation of CTSS with SpO2 values and comorbidities was also studied. We also analysed manual CTSS with the CTSS scored calculated by the AI software. Conclusion(s): CTSS and use of COVID-19 Reporting and Data System (CORADS) result in accuracy and uniform percolation of information among the clinicians. Bed-side X-rays and ultrasonography have played a role where the patients could not be shifted for CT scan. The possibility of predicting impending or progression of hypoxia was not possible when SpO2 mapping was correlated with the CTSS. AI was alternatively tried with available software (CT pneumonia analysis) which was not so appropriate considering the imaging patterns in the bulk of atypical category. Copyright © 2021, The Author(s).;2021;December;Egyptian Journal of Radiology and Nuclear Medicine;52(1) (no pagination);;;2013887674;https://dx.doi.org/10.1186/s43055-021-00634-7;;#520;KumarSen 2021;"Exclusion reason: Wrong intervention; ";;280
A machine learning-based algorithm to predict endotracheal intubation in covid-19 patients with acute respiratory failure: A potential clinical decision support tool;"Montomoli, J.; Bitondo, M.; Romeo, L.; Menga, L. S.; Cesarano, M.; Rosa, T.; Spadaro, S.; Frontoni, E.; Maggiore, S.; Grieco, D. L.; Antonelli, M.";Introduction. Non-invasive respiratory support (NIRS) has been proposed as a first line therapy for the treatment of acute hypoxemic respiratory failure in COVID-19 patients. These approaches may reduce the need for invasive mechanical ventilation but may also delay endotracheal intubation leading to worse outcome. In a context of scarce resources and high pressure on the healthcare system, a predictive model based on a machine learning algorithm could help physicians to identify patients at high risk for deterioration and enable prompt escalation of care. Objectives. To assess whether a machine learning algorithm can correctly predict the need of endotracheal intubation in a cohort of COVID-19 patients admitted to ICU with moderate to severe hypoxemic respiratory failure. Methods. We used the population of the HENIVOT Randomized Clinical Trial consisting of 109 patients with COVID-19 with a ratio of partial pressure of arterial oxygen to fraction of inspired oxygen (P/F ratio) <= 200. The XGBoost method was applied as a prediction model in consideration of its characteristics of high generalization performance, the low risk of overfitting, and high interpretability. We included in the model information available at the inception of NIRS (either helmet noninvasive ventilation or high-flow oxygen). Results. At the inception of the NIRS, among the 109 patients (median age 65 years, 88 males), the median P/F ratio, SOFA, and SAPS score were 102 (IQR:82-125), 2 (IQR:2-3), and 30 (IQR:24-35), respectively. The model correctly predicted the need of endotracheal intubation among 27 (sensitivity 61%) of the 44 COVID-19 patients that were intubated during the follow-up while it correctly identified 41 (specificity 63%) of the 65 patients with a successful trial with a NIVS (Table). The positive and negative predictive values were 53% and 71%, respectively, with an overall model accuracy of 62%. The most relevant feature to predict endotracheal intubation was the oxygen saturation followed by the duration of the respiratory symptoms, the mean arterial pressure, and the P/F ratio (Figure). Conclusion. Our results suggest that machine learning-based approaches may support physicians in the triage of COVID-19 patients in terms of the ventilatory management. In particular, the model showed the best performance in the identification of patients that are more likely to benefit from a trial with a NIRS. The actual model should be further validated in other populations of COVID-19 patients.;2021;;Intensive Care Medicine Experimental. Conference: European Society of Intensive Care Medicine Annual Congress, ESICM;9;SUPPL 1;;636288017;https://dx.doi.org/10.1186/s40635-021-00413-8;;#684;Montomoli 2021;"Exclusion reason: Wrong study design; ";;1557
Clear oxygen-level forecasts during anaesthesia;"Neumuth, T.; Franke, S.";;2018;01 Oct;Nature Biomedical Engineering;2(10);;715-716;2003226930;https://dx.doi.org/10.1038/s41551-018-0313-z;;#706;Neumuth 2018;"Exclusion reason: Wrong study design; ";;227
Signal quality measure for pulsatile physiological signals using morphological features: Applications in reliability measure for pulse oximetry;"Sabeti, E.; Reamaroon, N.; Mathis, M.; Gryak, J.; Sjoding, M.; Najarian, K.";Pulse oximetry is a noninvasive and low-cost physiological monitor that measures blood oxygen levels. While the noninvasive nature of pulse oximetry is advantageous, the estimates of oxygen saturation generated by these devices are prone to motion artifacts and ambient noise, reducing the reliability of such estimations. Clinicians combat this by assessing the quality of oxygen saturation estimation by visual inspection of the photoplethysmograph (PPG), which represents changes in pulsatile blood volume and is also generated by the pulse oximeter. In this paper, we propose six morphological features that can be used to determine the quality of the PPG signal and generate a signal quality index. Unlike many similar studies, this approach uses machine learning and does not require a separate signal, such as ECG, for reference. Multiple algorithms were tested against 46 30-min PPG segments of patients with cardiovascular and respiratory conditions, including atrial fibrillation, hypoxia, acute heart failure, pneumonia, ARDS, and pulmonary embolism. These signals were independently annotated for signal quality by two clinicians, with the union of their annotations used as the ground-truth. Similar to any physiological signal recorded in a clinical setting, the utilized dataset is also unbalanced in favor of good quality segments. The experiments showed that a cost-sensitive Support Vector Machine (SVM) outperformed other tested methods and was robust to the unbalanced nature of the data. Though the proposed algorithm was tested on PPG signals, the methodology remains agnostic to the dataset used, and may be applied to any type of pulsatile physiological signal. Copyright © 2019;2019;;Informatics in Medicine Unlocked;16 (no pagination);;;2002665634;https://dx.doi.org/10.1016/j.imu.2019.100222;;#850;Sabeti 2019;"Exclusion reason: Wrong outcomes; ";;1379
Pulse waveform classification using neural networks with cross-validation techniques: Some signal processing considerations;"Folland, R.; Das, A.; Dutta, R. T.; Hines, E. L.; Stocks, N. G.; Morgan, D.; Int Assoc, Sci; Technol Dev, Univ Hlth Informat; Technol, Biomed Engn Soc Amer Inst Med; Biol Engn, European Soc Engn; Med, Int Federat Med; Biol Engn, Austrian Soc Biomed Engn Biomat Network";Arterial oxygen saturation measured by pulse oximetry (SpO(2)) has long been established as a technique for monitoring critical care patients. Motion artifacts (MA) are physical disturbances of the patient that detrimentally affect the measured arterial pulse waveform. Identification and discrimination of these motion artifacts is fundamental to improving sensitivity towards genuine,clinical events such as hypoxemia. In this paper we investigate different Artificial Neural Network :implementations in the discrimination between normal and distorted waveforms in the Bayesian framework. We compare this against a neural network method of reconstructing the arterial pulse waveform from a resampled version. This method uses the neural network as a means of filtering out MA corrupted waveforms from normal waveforms. These two approaches provide methods for discriminating between normal and abnormal (MA corrupted) arterial pulse waveforms. We investigate the application of these techniques to identify the characteristics of normal arterial pulse waveforms in the development of an effective classification paradigm. We conclude that although the waveform classification system can successfully discriminate between 83.2% of normal and MA waveforms, the method of signal reconstruction offers an attractive means of identifying MA by attaining accuracies of 97% on average.;2004;Feb 16-18;2nd IASTED International Conference on Biomedical Engineering;;;337-342;WOS:000228456600075;;;#1318;Folland 2004;"Exclusion reason: Unable to obtain full text; Lena Pigat (2022-12-21 20:59:43)(Select): Full text not yet accessible, awaiting researcher response
; ";;1535
Chronic obstructive pulmonary disease phenotype desaturator with hypoxic vascular remodelling and pulmonary hypertension obtained by cluster analysis;"Toraldo, D. M.; Minelli, M.; De Nuccio, F.; Nicolardi, G.";Significant heterogeneity of clinical presentation and disease progression exists within chronic obstructive pulmonary disease (COPD). This article discusses and refines the concept of desaturator phenotypes in COPD with pulmonary hypertension (PH) obtained by cluster analysis and presents a pattern of phenotypic markers that could be used as a framework for future diagnosis and research. Nocturnal oxygen desaturation results in sleep disturbances which predispose to nocturnal cardiac dysrhythmias, PH and possibly nocturnal death, particularly during acute exacerbations. We assume that in patients with COPD at least two factors play a role in PH: the severity of pulmonary impairment, and the severity of systemic nocturnal hypoxaemia due to reduced pulmonary functions. Establishing a common language for future research will facilitate our understanding and management of such a disease. This knowledge could lead to different pharmacological treatments and other interventions directed at specific phenotypic groups.;2012;Nov;Multidisciplinary Respiratory Medicine;7;;01. Jul;WOS:000311435400001;10.1186/2049-6958-7-39;;#1570;Toraldo 2012;"Exclusion reason: Wrong study design; ";;328
